职位	薪资	工作经验	学历要求
IT-大数据数仓工程师	2-2.5万/月	3-4年经验	本科
大数据工程师	2-3.5万/月	2年经验	本科
测试工程师	1-1.6万/月	3-4年经验	本科
云BOSS	1.5-2千/月	3-4年经验	本科
软件测试实习生	2-3千/月	在校生/应届生	本科
数据仓库实习生	150元/天	在校生/应届生	本科
初中级技术顾问（ETL方向）	0.5-1.2万/月	2年经验	大专
高级图像算法工程师	3-4万/月	3-4年经验	本科
前端开发工程师	1.5-2万/月	3-4年经验	本科
软件测试工程师	0.5-1万/月	1年经验	大专
大数据测试工程师	1-1.5万/月	3-4年经验	本科
实施工程师	0.6-1万/月	2年经验	大专
数据分析师	1.2-2万/月	1年经验	本科
嵌入式软件工程师	1.5-2万/月	3-4年经验	本科
图像处理算法工程师	1-1.5万/月	1年经验	本科
运维测试工程师	6-8千/月	无需经验	本科
Ai数据分析工程师	1.5-1.8万/月	3-4年经验	本科
渗透测试工程师	1-1.5万/月	1年经验	本科
运动控制工程师	1.5-2万/月	3-4年经验	本科
Java高级开发工程师	1.5-2万/月	5-7年经验	本科
算法工程师	0.7-1.5万/月	1年经验	硕士
嵌入式软件工程师	1.5-3万/月	无需经验	硕士
大数据人工智能研发工程师	0.6-2万/月	无需经验	本科
芯片验证工程师	2-3万/月	2年经验	本科
软件工程师	10-15万/年	1年经验	本科
Golang开发	2.5-3万/月	3-4年经验	大专
测试工程师	0.6-1.5万/月	3-4年经验	本科
美的—阿里国际站运营	6-8千/月	1年经验	大专
语音识别算法工程师（易视星空）	2.5-3.5万/月	1年经验	本科
后端开发工程师	1-1.5万/月	2年经验	本科
AI算法工程师	1-2万/月	3-4年经验	本科
中高级Java开发工程师	1-1.4万/月	2年经验	本科
122042互联网技术架构师（北京）	4-6万/月	8-9年经验	本科
质量管理中心-高级图像识别工程师(J15520)	1.5-2.5万/月	3-4年经验	硕士
软件工程师	0.8-1.5万/月	在校生/应届生	硕士
GIS测试工程师	1.2-1.3万/月	3-4年经验	本科
自然语言处理算法讲师	2.5-5万/月	5-7年经验	本科
大数据工程师	1.5-2万/月	5-7年经验	大专
算法实习生	200元/天	在校生/应届生	本科
资深运维工程师	2-3.5万/月	5-7年经验	本科
AI算法工程师	2-4万/月	3-4年经验	硕士
自然语言处理工程师	1-1.5万/月	1年经验	本科
数据库工程师(DBA)	1-1.5万/月	1年经验	大专
软件工程师（图像算法）	1-1.8万/月	1年经验	本科
高级IC验证工程师	30-45万/年	2年经验	硕士
高级嵌入式软件开发工程师	2-2.5万/月	5-7年经验	本科
算法部图像方向实习生	6-8千/月	在校生/应届生	硕士
日企云计算研发(编号122481)	1.2-2.3万/月	3-4年经验	本科
大数据开发工程师	2-3万/月	5-7年经验	本科
高级研发工程师	1.5-3万/月	5-7年经验	硕士
商科/法律/数学/会计/医学/工科等各类essay辅导老师	3-4万/月	在校生/应届生	本科
自动化测试工程师	0.9-1.4万/月	在校生/应届生	本科
高级系统开发工程师-北京	2.5-4万/月	5-7年经验	本科
BI架构师	2-2.5万/月	3-4年经验	本科
算法工程师	1-2万/月	3-4年经验	本科
UE4开发工程师	0.8-1.5万/月	1年经验	本科
AI高级算法工程师	1.1-1.8万/月	2年经验	硕士
运维工程师	0.8-1.2万/月	3-4年经验	本科
运营数据分析专员	0.8-1.2万/月	1年经验	大专
高级产品经理	1.5-3万/月	3-4年经验	本科
高级产品经理	1.5-2万/月	5-7年经验	本科
9.26云专场-算法开发工程师-小红书	30-75万/年	3-4年经验	本科
Web Server研发工程师	1-2万/月	2年经验	本科
前端工程师	6-9千/月	在校生/应届生	本科
技术总监	3-4万/月	5-7年经验	本科
生物信息研究员 (MJ000209)	1-1.5万/月	在校生/应届生	本科
系统测试工程师	0.8-1万/月	2年经验	大专
大数据开发工程师	1.5-2.5万/月	3-4年经验	本科
大气污染（与气候变化）相关实习生	100元/天	在校生/应届生	本科
BI岗（校招岗位）	10-20万/年	在校生/应届生	本科
大数据工程师（高级）-信息公司	1.1-1.6万/月	5-7年经验	本科
高级数据库管理员	2.5-3万/月	5-7年经验	本科
前端开发工程师	1-1.5万/月	1年经验	本科
现场工程师	0.5-1.5万/月	在校生/应届生	本科
欧美外企-日英电子商务运营专员	6-9千/月	2年经验	本科
运维服务部高级经理	1-1.5万/月	5-7年经验	硕士
总公司-经营企划本部-经营企划岗（资产负债管理方向）	1-1.5万/月	3-4年经验	硕士
配置管理工程师	1.5-2.5万/月	5-7年经验	本科
渲染技术开发工程师（三维CAD）（工程事业部）	0.8-2万/月	1年经验	本科
Golang开发工程师	2-4万/月	5-7年经验	本科
NLP研发工程师	2.5-5万/月	2年经验	本科
AI智能软件工程师	30-100万/年	3-4年经验	本科
Linux系统工程师	1.2-2万/月	3-4年经验	本科
大数据软件工程师	1.5-3.5万/月	3-4年经验	本科
信息部副经理	0.8-1万/月	5-7年经验	本科
赴日PG/系统开发工程师	1.3-1.6万/月	无需经验	大专
性能测试工程师	1-1.5万/月	3-4年经验	大专
系统测试工程师(J10100)	1-2万/月	5-7年经验	本科
自动化测试工程师	1-1.5万/月	3-4年经验	本科
中高级C++开发工程师（硕/博士优先）	1.1-2.6万/月	3-4年经验	本科
空气质量数据分析师（北京）	0.8-1.4万/月	1年经验	本科
Algorithm Engineer for AI	40-50万/年	5-7年经验	本科
AI人工智能工程师	3-4.5千/月	5-7年经验	本科
信息安全实习研究员	1-2万/月	无需经验	本科
算法工程师	2-5万/月	2年经验	本科
大数据开发工程师	1.5-2.5万/月	3-4年经验	本科
2021校招-算法工程师	1-1.5万/月	在校生/应届生	本科
2021届—Java开发实习生	0.9-1.2万/月	在校生/应届生	本科
8-12k大数据分析师（可培养）	0.8-1.5万/月	无需经验	大专
8k大数据分析师（应届岗位）	0.8-1.5万/月	无需经验	大专
中间件工程师	1-1.5万/月	3-4年经验	大专
C++高级开发工程师	1.5-2.4万/月	3-4年经验	本科
助理技术顾问（数据库方向/DBA）	6-8千/月	在校生/应届生	本科
Java开发工程师(遥感方向)	1-2万/月	1年经验	本科
软件研发工程师（SD-WAN产品）	1-1.5万/月	无需经验	本科
项目行政文员丨北京朝阳	6-8千/月	1年经验	本科
测试工程师	1.3-1.8万/月	3-4年经验	本科
开发工程师	1.2-1.6万/月	2年经验	本科
软件工程师（日语）	0.8-1.2万/月	在校生/应届生	本科
软件测试工程师	1-1.5万/月	3-4年经验	本科
医学图像工程师	1-2万/月	1年经验	本科
气象算法工程师	1.5-3万/月	2年经验	本科
研发工程师	1.5-3万/月	5-7年经验	本科
Linux开发工程师	1-1.5万/月	3-4年经验	大专
软件工程师	1.6-3.8万/月	3-4年经验	本科
Web前端开发工程师	0.5-1万/月	3-4年经验	大专
高级数据仓工程师	2-2.5万/月	5-7年经验	本科
DBA工程师	1.5-2万/月	5-7年经验	本科
集成电路设计实现研发Design Enablement Develop	1.5-2万/月	2年经验	本科
APP测试工程师	1.3-1.6万/月	3-4年经验	本科
日本IT软件开发及编程	2-2.5万/月	无需经验	本科
工具研发工程师	1.5-2万/月	3-4年经验	本科
Web前端开发工程师	1-1.5万/月	1年经验	大专
AI算法工程师	1.2-2万/月	无需经验	硕士
大数据开发工程师	0.8-1万/月	1年经验	本科
软件测试工程师	0.8-1万/月	1年经验	大专
算法工程师	2-2.5万/月	3-4年经验	本科
AI算法工程师	3-5万/月	无需经验	本科
科技发展部-开发工程师	1.2-2.4万/月	5-7年经验	本科
软件工程师（北京）（数据分析方向）	0.8-2万/月	2年经验	本科
临床数据分析Data Manager	0.8-2万/月	3-4年经验	硕士
C/C++产品开发工程师（入职即上五险一金）	1-1.5万/月	3-4年经验	本科
运维工程师	1-2万/月	3-4年经验	本科
研究分析师（城市）	1-2万/月	3-4年经验	本科
维护工程师（KJ3783）	1-1.5万/月	3-4年经验	大专
中级软件测试工程师	1-1.5万/月	3-4年经验	本科
深度学习算法工程师	2-4万/月	2年经验	硕士
运维工程师-北京	0.8-1.3万/月	2年经验	大专
数据分析师（2021校招）	1.5-2.5万/月	在校生/应届生	本科
高级驱动开发工程师	1.3-2.5万/月	3-4年经验	本科
系统运维工程师	0.8-1.6万/月	2年经验	大专
Windows开发工程师	1-2.4万/月	3-4年经验	本科
JAVA开发工程师-北京-01301	1-1.5万/月	3-4年经验	本科
控制算法工程师（仿真建模）	1.5-2.5万/月	在校生/应届生	硕士
系统软件工程师（QT）	0.5-1万/月	在校生/应届生	本科
游戏java服务器开发	1.5-2.5万/月	3-4年经验	本科
X86 System Software Engineer Firmware	2-2.5万/月	1年经验	硕士
运动控制工程师	1.5-3.5万/月	1年经验	本科
C/C++开发（半年短期）	6-9千/月	1年经验	大专
高级测试工程师	0.7-1.2万/月	3-4年经验	大专
人工智能开发工程师	1.5-2万/月	2年经验	硕士
测试工程师	1-1.5万/月	1年经验	本科
软件测试工程师	1-1.3万/月	3-4年经验	大专
自动驾驶决策与规划算法工程师	1.5-2万/月	5-7年经验	本科
运维工程师	5-7千/月	在校生/应届生	本科
生物信息工程师	1.5-2万/月	2年经验	本科
数据分析师	6-8千/月	2年经验	大专
高级后端开发工程师（内容安全）	1.5-2万/月	5-7年经验	本科
算法工程师	1-2万/月	1年经验	本科
遥感应用研究工程师	1-1.5万/月	2年经验	硕士
DevOps工程师-北京	1-2万/月	2年经验	本科
高级技术专家-广告推荐系统	4-5万/月	8-9年经验	本科
资深数据分析-BJ	1.5-3万/月	3-4年经验	本科
资深Unity3d开发工程师（五险一金+双休）	0.8-1.5万/月	3-4年经验	本科
控制算法工程师	1.5-2万/月	5-7年经验	本科
大数据开发工程师	1.7-2.5万/月	5-7年经验	本科
高级生信工程师	1-2万/月	1年经验	本科
数据挖掘工程师	1.8-3万/月	2年经验	本科
实习生（web安全研究方向）	2-3千/月	在校生/应届生	本科
数据分析专员	6-9千/月	1年经验	本科
应用运维工程师	0.8-1.5万/月	2年经验	本科
POC实施交付工程师	1.5-3万/月	5-7年经验	本科
数据采集工程师	1.5-2万/月	2年经验	本科
后端实习生(J10503)	185元/天	在校生/应届生	本科
首席技术官	100万以上/年	5-7年经验	本科
人脸识别系统测试	1-1.5万/月	3-4年经验	本科
AI算法工程师	1-2.5万/月	1年经验	本科
高级研究员	0.9-1.3万/月	2年经验	本科
框架软件开发工程师	1.5-2万/月	3-4年经验	硕士
Senior Analyst, Decision Science	1.2-2.8万/月	2年经验	本科
运营合规专员（第三方）	0.5-1万/月	1年经验	本科
测试开发工程师	1.2-1.7万/月	2年经验	大专
(高级)前端开发工程师	3-4万/月	2年经验	本科
验证工程师	1.5-2万/月	1年经验	硕士
IC验证工程师	2.5-5万/月	3-4年经验	硕士
自动化测试工程师	1.5-1.8万/月	5-7年经验	本科
芯片验证经理	60-80万/年	8-9年经验	本科
数据运维工程师	1.2-2.4万/月	3-4年经验	本科
自动化测试工程师	1.5-2.5万/月	3-4年经验	本科
FPGA工程师	4-6万/月	3-4年经验	本科
模式模拟	1.2-2万/月	3-4年经验	本科
JS工程师	1-1.5万/月	3-4年经验	本科
SLAM算法工程师	1.2-3万/月	2年经验	硕士
网络运维工程师（中科实数）	0.8-1.6万/月	5-7年经验	本科
生物信息工程师（NGS）	1.2-2万/月	2年经验	硕士
风险管理部风险管理岗	2.5-3万/月	3-4年经验	本科
策略交易研究员（助理实习生）	1.5千以下/月	在校生/应届生	本科
ZC研发工程师	20-40万/年	3-4年经验	本科
数据开发工程师	0.8-1.2万/月	3-4年经验	本科
平台安全专家 7010011	32.5-45.5万/年	8-9年经验	硕士
算法及人工智能开发工程师	0.9-1.4万/月	无需经验	硕士
高级风险模型师	1-1.5万/月	3-4年经验	本科
软件测试工程师	0.8-1.3万/月	3-4年经验	大专
数据分析师 (MJ004048)	4-5.5万/月	5-7年经验	本科
服务端开发工程师（校招）(J10646)	1.6-3万/月	在校生/应届生	本科
国美加盟中心财务主管	6-8千/月	无需经验	本科
java开发工程师	1.3-2万/月	3-4年经验	本科
安全咨询顾问（2021届实习生）	3-4.5千/月	在校生/应届生	本科
总部营销财务COE分析师（预算管理）	1-1.5万/月	3-4年经验	本科
软件开发工程师	2.5-3万/月	2年经验	本科
PPP算法工程师	1.8-3.5万/月	无需经验	硕士
芯片研究-01	10-20万/年	1年经验	本科
Digital IP Design Engineer	2-5万/月	3-4年经验	硕士
安全工程师	1.5-2.5万/月	2年经验	本科
对日Java软件工程师	0.7-1万/月	2年经验	本科
Nodejs前端工程师	1.5-2万/月	3-4年经验	本科
Seniorinformationsecurity engineer/ 信息安全工程师	2-2.5万/月	2年经验	本科
大数据工程师	1.5-3万/月	3-4年经验	本科
信息安全工程师	1.4-2万/月	3-4年经验	本科
高精度算法工程师	2.5-3万/月	2年经验	本科
大数据开发	2-3万/月	5-7年经验	本科
Java开发工程师	1-1.6万/月	3-4年经验	本科
机器学习研究员	2.5-3万/月	1年经验	博士
HPC工程师（北京）(J10794)	1.5-2.5万/月	5-7年经验	本科
C/C++开发	0.8-1万/月	1年经验	大专
算法工程师	2-2.5万/月	2年经验	本科
图像处理/算法工程师	1.2-2万/月	在校生/应届生	博士
高级网络和系统管理员	1-2万/月	3-4年经验	本科
QA Automation Engineer	20-35万/年	2年经验	本科
运营专员（偏技术）	1-1.2万/月	无需经验	本科
数据分析师	1-1.8万/月	3-4年经验	本科
功能测试工程师	0.7-1万/月	2年经验	本科
软件产品经理（环保应用方向）	1.5-2万/月	2年经验	本科
监控管理岗（数据）	1-1.5万/月	3-4年经验	本科
编程老师	2-2.5万/月	2年经验	大专
Java高级软件开发	1.2-1.8万/月	3-4年经验	本科
2021应届生-软件开发工程师（C++）	0.6-1.2万/月	在校生/应届生	本科
数据分析员	8-10万/年	1年经验	本科
咨询顾问（数据分析方向）	0.5-1万/月	无需经验	本科
高级嵌入式软件经理	2-3.5万/月	10年以上经验	硕士
Web开发工程师	1-1.5万/月	1年经验	本科
传统视觉工程师	24-64万/年	2年经验	本科
人工智能开发工程师（自适应学习方向）	1-2万/月	1年经验	本科
ETL开发组组长	1.1-1.5万/月	3-4年经验	本科
运维工程师	1.5-2.5万/月	3-4年经验	大专
FPGA软件工程师（济南研发中心）	1-1.8万/月	无需经验	本科
交付经理	1.5-3万/月	3-4年经验	本科
Java架构师	2-3万/月	10年以上经验	本科
高级数据分析师	0.6-1.2万/月	2年经验	本科
生物信息工程师	0.8-1.5万/月	3-4年经验	本科
高级图像算法工程师	4-7万/月	3-4年经验	硕士
运维工程师	6-8千/月	1年经验	中专
PHP开发工程师	1.2-1.5万/月	3-4年经验	本科
终端及消费者业务解决方案岗	1.5-2.5万/月	5-7年经验	本科
软件测试工程师	1-1.2万/月	3-4年经验	本科
数据分析师	1.2-2万/月	1年经验	硕士
kubernetes系统运维工程师	1-1.5万/月	3-4年经验	本科
算法工程师	2.5-3万/月	3-4年经验	硕士
某大型航天企业-web前端	1-1.4万/月	3-4年经验	本科
(急聘) 网络工程师	4.5-8千/月	无需经验	大专
HIL测试工程师	0.8-1.2万/月	2年经验	本科
软件工程师--全栈工程师	1.8-2.8万/月	3-4年经验	本科
喷漆维护工程师	20-30万/年	3-4年经验	本科
运维工程师（北京）	1-1.5万/月	在校生/应届生	本科
技术项目经理	2-3万/月	5-7年经验	本科
配置及开发工程师	1-2万/月	5-7年经验	本科
devops运维开发工程师	1-1.5万/月	3-4年经验	本科
CAE二次开发工程师	1-1.8万/月	2年经验	硕士
算法工程师	2-4万/月	1年经验	硕士
数据挖掘工程师-共享(J10606)	3-4万/月	3-4年经验	本科
财务分析（报表方向）(J13014)	1.5-2万/月	1年经验	本科
初级专业科研岗（EDA课题组工程师）	20-30万/年	3-4年经验	本科
资深运维开发总监	2-3.5万/月	5-7年经验	本科
生信研发工程师	1.2-2万/月	2年经验	硕士
语音算法工程师	2-7万/月	5-7年经验	硕士
